url	title	cluster	role	primary_intent	primary_attribute	border	words	content_in	primary_entity	key_relationships
/tank-setup	Axolotl Tank Setup Guide: Size, Filter, Substrate, Water	tank-setup	hub	navigational	tank	CORE	None	125	Axolotl habitat (tank/water)	/tank-setup/acclimating-a-new-axolotl; /tank-setup/aquarium-chillers; /tank-setup/canister-vs-sponge-filter; /tank-setup/filtration-for-axolotls; /tank-setup/gravel-risks; /tank-setup/hides-and-caves; /tank-setup/lighting-for-axolotls; /tank-setup/live-vs-artificial-plants; /tank-setup/setup-guide; /tank-setup/substrate-and-impaction; /tank-setup/tank-mates; /tank-setup/tank-size-by-age; /tank-setup/temperature; /tank-setup/uneaten-food-and-ammonia; /tank-setup/water-conditioners; /tank-setup/water-parameters-cycling; /tank-setup/why-tank-water-smells
/tank-setup/acclimating-a-new-axolotl	How to Acclimate a New Axolotl: Step-by-Step	tank-setup	procedural	procedural	acclimation	CORE	639	2	Axolotl habitat (tank/water)	/health/quarantine-tub; /tank-setup/water-conditioners; /tank-setup/water-parameters-cycling
/tank-setup/aquarium-chillers	Best Aquarium Chillers for Axolotls | Axolotl Care Guide	tank-setup	comparative	comparative	temperature	PERIPHERAL	2699	5	Axolotl habitat (tank/water)	/tank-setup/setup-guide; /tank-setup/temperature
/tank-setup/canister-vs-sponge-filter	Canister Filters vs. Sponge Filters for… | Axolotl Care Guide	tank-setup	comparative	comparative	filtration	CORE	6117	2	Axolotl habitat (tank/water)	/tank-setup/filtration-for-axolotls; /tank-setup/temperature
/tank-setup/filtration-for-axolotls	Best Filter for Axolotl Tanks: Types… | Axolotl Care Guide	tank-setup	comparative	comparative	filtration	CORE	4274	4	Axolotl habitat (tank/water)	/tank-setup/canister-vs-sponge-filter; /tank-setup/water-parameters-cycling
/tank-setup/gravel-risks	The Dangers of Sharp Gravel for Axolotls | Axolotl Care Guide	tank-setup	explanatory	problem-solving	substrate	CORE	2647	3	Axolotl habitat (tank/water)	/tank-setup/live-vs-artificial-plants; /tank-setup/substrate-and-impaction
/tank-setup/hides-and-caves	Best Hides and Caves for Axolotls | Axolotl Care Guide	tank-setup	comparative	comparative	decor	PERIPHERAL	4355	3	Axolotl habitat (tank/water)	/tank-setup/lighting-for-axolotls; /tank-setup/live-vs-artificial-plants
/tank-setup/lighting-for-axolotls	Axolotl Tank Lighting Requirements | Axolotl Care Guide	tank-setup	explanatory	informational	lighting	CORE	4075	4	Axolotl habitat (tank/water)	/tank-setup/hides-and-caves; /tank-setup/water-conditioners
/tank-setup/live-vs-artificial-plants	Live Plants vs. Fake Plants for Axolotl… | Axolotl Care Guide	tank-setup	comparative	comparative	decor	PERIPHERAL	3125	3	Axolotl habitat (tank/water)	/tank-setup/hides-and-caves; /tank-setup/lighting-for-axolotls
/tank-setup/setup-guide	How to Set Up an Axolotl Tank the Right… | Axolotl Care Guide	tank-setup	procedural	procedural	tank	CORE	2869	9	Axolotl habitat (tank/water)	/tank-setup/filtration-for-axolotls; /tank-setup/substrate-and-impaction; /tank-setup/temperature; /tank-setup/water-parameters-cycling
/tank-setup/substrate-and-impaction	Choosing the Best Axolotl Substrate | Axolotl Care Guide	tank-setup	explanatory	informational	substrate	CORE	4029	5	Axolotl habitat (tank/water)	/health/refusing-to-eat; /tank-setup/gravel-risks
/tank-setup/tank-mates	Can Axolotls Live with Fish? Tank-Mates, Explained	tank-setup	explanatory	informational	housing	CORE	601	2	Axolotl habitat (tank/water)	/care-basics/keeping-multiple-axolotls; /diet/feeder-fish-risks; /tank-setup/tank-size-by-age
/tank-setup/tank-size-by-age	Axolotl Tank Size by Age: How Big of a Tank Do You Need?	tank-setup	explanatory	definitional	size	CORE	500	3	Axolotl habitat (tank/water)	/care-basics/axolotl-age-and-size-chart; /tank-setup/gravel-risks; /tank-setup/setup-guide; /tank-setup/tank-mates
/tank-setup/temperature	How to Keep an Axolotl Tank Cool | Axolotl Care Guide	tank-setup	procedural	procedural	temperature	CORE	5826	5	Axolotl habitat (tank/water)	/health/refusing-to-eat; /tank-setup/aquarium-chillers
/tank-setup/uneaten-food-and-ammonia	Why Uneaten Food Causes Ammonia in an… | Axolotl Care Guide	tank-setup	explanatory	problem-solving	ammonia	CORE	2449	3	Axolotl habitat (tank/water)	/diet/feeding-schedule-by-age; /tank-setup/water-parameters-cycling
/tank-setup/water-conditioners	Axolotl Water Conditioner: Creating Safe… | Axolotl Care Guide	tank-setup	procedural	procedural	water	CORE	4417	3	Axolotl habitat (tank/water)	/tank-setup/acclimating-a-new-axolotl; /tank-setup/aquarium-chillers; /tank-setup/filtration-for-axolotls; /tank-setup/lighting-for-axolotls; /tank-setup/water-parameters-cycling
/tank-setup/water-parameters-cycling	Managing Ammonia and Nitrate Spikes in… | Axolotl Care Guide	tank-setup	explanatory	informational	water	CORE	4924	15	Axolotl habitat (tank/water)	/tank-setup/uneaten-food-and-ammonia; /tank-setup/why-tank-water-smells
/tank-setup/why-tank-water-smells	Why Does My Axolotl Tank Water Stink? | Axolotl Care Guide	tank-setup	diagnostic	problem-solving	water	CORE	2074	2	Axolotl habitat (tank/water)	/tank-setup/uneaten-food-and-ammonia; /tank-setup/water-parameters-cycling
/tools	Axolotl Tools & Calculators	tools	tool	tool/calculator	tools	FUNCTIONAL	None	124	Axolotl care task	-
/tools/feeding-schedule-generator	Axolotl Feeding Schedule Generator	tools	tool	tool/calculator	feeding	OUTER	None	125	Axolotl care task	/axolotls/care-guide
/tools/nitrogen-cycle-tracker	Axolotl Nitrogen Cycle Tracker — Free Tank Cycling Progress Tool	tools	tool	tool/calculator	water	OUTER	None	125	Axolotl care task	-
/tools/symptom-checker	Axolotl Symptom Checker	tools	tool	tool/calculator	health	OUTER	None	125	Axolotl care task	/axolotls/care-guide
/tools/tank-size-calculator	Axolotl Tank Size Calculator	tools	tool	tool/calculator	size	OUTER	None	125	Axolotl care task	/axolotls/care-guide
/tools/water-conditioner-dosage-calculator	Axolotl Water Conditioner Dosage Calculator | Precise Dosing for Healthy Axolotls	tools	tool	tool/calculator	water	OUTER	None	125	Axolotl care task	-
